ROI,Frame,Row,Column,Wavelength,Intensity
1,1,0,0,533.32212640536022,2359
1,1,0,1,533.34422548497685,2343
1,1,0,2,533.3663223217585,2352
1,1,0,3,533.38841691537459,2365.39990234375
1,1,0,4,533.41050926549508,2358.39990234375
1,1,0,5,533.43259937178971,2357.199951171875
1,1,0,6,533.45468723392889,2363.39990234375
1,1,0,7,533.47677285158261,2366.60009765625
1,1,0,8,533.49885622442139,2365.89990234375
1,1,0,9,533.52093735211565,2373.699951171875
1,1,0,10,533.54301623433616,2381.800048828125
1,1,0,11,533.56509287075357,2386.10009765625
1,1,0,12,533.587167261039,2400.89990234375
1,1,0,13,533.60923940486327,2399.89990234375
1,1,0,14,533.63130930189777,2420.10009765625
1,1,0,15,533.65337695181393,2446.800048828125
1,1,0,16,533.67544235428318,2441.800048828125
1,1,0,17,533.69750550897709,2440.199951171875
1,1,0,18,533.71956641556756,2480.89990234375
1,1,0,19,533.74162507372625,2490.39990234375
1,1,0,20,533.76368148312565,2504.300048828125
1,1,0,21,533.78573564343765,2535.5
1,1,0,22,533.80778755433471,2534.5
1,1,0,23,533.82983721548931,2541.699951171875
1,1,0,24,533.851884626574,2573.300048828125
1,1,0,25,533.87392978726155,2605.60009765625
1,1,0,26,533.89597269722492,2606.89990234375
1,1,0,27,533.91801335613718,2651.60009765625
1,1,0,28,533.94005176367136,2689.10009765625
1,1,0,29,533.962087919501,2695.800048828125
1,1,0,30,533.98412182329957,2735.60009765625
1,1,0,31,534.00615347474059,2754.300048828125
1,1,0,32,534.02818287349771,2764.10009765625
1,1,0,33,534.050210019245,2824.89990234375
1,1,0,34,534.07223491165632,2866.5
1,1,0,35,534.09425755040593,2884.60009765625
1,1,0,36,534.11627793516823,2907.699951171875
1,1,0,37,534.13829606561762,2940.199951171875
1,1,0,38,534.16031194142863,2976.89990234375
1,1,0,39,534.18232556227611,2974.800048828125
1,1,0,40,534.20433692783479,2990.39990234375
1,1,0,41,534.22634603777976,3006.300048828125
1,1,0,42,534.24835289178634,3044.699951171875
1,1,0,43,534.27035748952972,3034.199951171875
1,1,0,44,534.2923598306852,3048.10009765625
1,1,0,45,534.31435991492845,3056.39990234375
1,1,0,46,534.33635774193522,3064
1,1,0,47,534.35835331138139,3068
1,1,0,48,534.380346622943,3082.800048828125
1,1,0,49,534.40233767629627,3073.699951171875
1,1,0,50,534.42432647111718,3090.300048828125
1,1,0,51,534.44631300708238,3078.699951171875
1,1,0,52,534.46829728386865,3083.39990234375
1,1,0,53,534.49027930115233,3085.10009765625
1,1,0,54,534.51225905861031,3073.699951171875
1,1,0,55,534.53423655591985,3072.699951171875
1,1,0,56,534.55621179275784,3070.800048828125
1,1,0,57,534.57818476880175,3113.5
1,1,0,58,534.60015548372871,3083
1,1,0,59,534.62212393721677,3088.10009765625
1,1,0,60,534.64409012894316,3104
1,1,0,61,534.666054058586,3108.800048828125
1,1,0,62,534.68801572582322,3131
1,1,0,63,534.70997513033285,3098
1,1,0,64,534.7319322717932,3123.10009765625
1,1,0,65,534.75388714988264,3127.699951171875
1,1,0,66,534.77583976427991,3122.39990234375
1,1,0,67,534.7977901146636,3123.199951171875
1,1,0,68,534.81973820071255,3143
1,1,0,69,534.8416840221056,3133.199951171875
1,1,0,70,534.86362757852214,3163.39990234375
1,1,0,71,534.88556886964125,3152.5
1,1,0,72,534.90750789514232,3153.60009765625
1,1,0,73,534.929444654705,3140.10009765625
1,1,0,74,534.95137914800887,3150.10009765625
1,1,0,75,534.97331137473384,3155.89990234375
1,1,0,76,534.99524133455975,3125.199951171875
1,1,0,77,535.01716902716691,3178.699951171875
1,1,0,78,535.03909445223542,3177.39990234375
1,1,0,79,535.0610176094458,3152
1,1,0,80,535.08293849847848,3170.800048828125
1,1,0,81,535.10485711901413,3173.89990234375
1,1,0,82,535.12677347073361,3182.39990234375
1,1,0,83,535.14868755331793,3168
1,1,0,84,535.17059936644819,3156.699951171875
1,1,0,85,535.1925089098055,3172.89990234375
1,1,0,86,535.21441618307153,3184.800048828125
1,1,0,87,535.23632118592741,3178.10009765625
1,1,0,88,535.25822391805514,3207
1,1,0,89,535.28012437913651,3205.300048828125
1,1,0,90,535.30202256885343,3193.199951171875
1,1,0,91,535.32391848688769,3218.10009765625
1,1,0,92,535.34581213292211,3218.39990234375
1,1,0,93,535.36770350663858,3199.199951171875
1,1,0,94,535.38959260771992,3216
1,1,0,95,535.41147943584849,3206
1,1,0,96,535.43336399070756,3212.60009765625
1,1,0,97,535.45524627197972,3228
1,1,0,98,535.47712627934823,3220.5
1,1,0,99,535.49900401249624,3223.10009765625
1,1,0,100,535.52087947110715,3233.60009765625
1,1,0,101,535.54275265486456,3235.800048828125
1,1,0,102,535.56462356345185,3255.199951171875
1,1,0,103,535.58649219655319,3233.39990234375
1,1,0,104,535.60835855385244,3242.800048828125
1,1,0,105,535.63022263503353,3261.699951171875
1,1,0,106,535.65208443978077,3249.39990234375
1,1,0,107,535.67394396777865,3231.5
1,1,0,108,535.69580121871149,3256.800048828125
1,1,0,109,535.717656192264,3241
1,1,0,110,535.73950888812124,3221.89990234375
1,1,0,111,535.76135930596786,3223.199951171875
1,1,0,112,535.783207445489,3252.699951171875
1,1,0,113,535.80505330637,3230.39990234375
1,1,0,114,535.826896888296,3211.39990234375
1,1,0,115,535.84873819095287,3209.800048828125
1,1,0,116,535.870577214026,3186.300048828125
1,1,0,117,535.89241395720137,3206
1,1,0,118,535.91424842016465,3195.60009765625
1,1,0,119,535.93608060260215,3177.10009765625
1,1,0,120,535.95791050420007,3178.39990234375
1,1,0,121,535.97973812464465,3172.699951171875
1,1,0,122,536.00156346362269,3157.39990234375
1,1,0,123,536.02338652082051,3170
1,1,0,124,536.045207295925,3190.89990234375
1,1,0,125,536.06702578862337,3175.699951171875
1,1,0,126,536.08884199860245,3164.89990234375
1,1,0,127,536.11065592554951,3167.10009765625
1,1,0,128,536.1324675691518,3164.60009765625
1,1,0,129,536.154276929097,3166.89990234375
1,1,0,130,536.17608400507288,3148
1,1,0,131,536.197888796767,3156.10009765625
1,1,0,132,536.21969130386731,3136.699951171875
1,1,0,133,536.24149152606208,3144.89990234375
1,1,0,134,536.26328946303931,3127.89990234375
1,1,0,135,536.28508511448752,3104.199951171875
1,1,0,136,536.30687848009529,3130.800048828125
1,1,0,137,536.32866955955114,3135.800048828125
1,1,0,138,536.35045835254391,3132.10009765625
1,1,0,139,536.37224485876254,3117.10009765625
1,1,0,140,536.39402907789611,3124.699951171875
1,1,0,141,536.41581100963367,3113.699951171875
1,1,0,142,536.437590653665,3098.800048828125
1,1,0,143,536.45936800967934,3119.300048828125
1,1,0,144,536.48114307736637,3082.199951171875
1,1,0,145,536.50291585641594,3093.60009765625
1,1,0,146,536.52468634651791,3085
1,1,0,147,536.54645454736249,3089.5
1,1,0,148,536.56822045863987,3107.39990234375
1,1,0,149,536.58998408004038,3085.60009765625
1,1,0,150,536.61174541125445,3090.10009765625
1,1,0,151,536.633504451973,3075.39990234375
1,1,0,152,536.65526120188656,3097.60009765625
1,1,0,153,536.67701566068638,3082.699951171875
1,1,0,154,536.6987678280633,3091
1,1,0,155,536.72051770370854,3086.199951171875
1,1,0,156,536.74226528731344,3105.5
1,1,0,157,536.76401057856981,3104.800048828125
1,1,0,158,536.7857535771692,3084.699951171875
1,1,0,159,536.8074942828033,3083.89990234375
1,1,0,160,536.829232695164,3095
1,1,0,161,536.85096881394372,3102.60009765625
1,1,0,162,536.87270263883443,3081.5
1,1,0,163,536.89443416952849,3082.300048828125
1,1,0,164,536.91616340571852,3104.60009765625
1,1,0,165,536.93789034709721,3094.699951171875
1,1,0,166,536.95961499335726,3106.39990234375
1,1,0,167,536.98133734419173,3101.60009765625
1,1,0,168,537.00305739929377,3097.300048828125
1,1,0,169,537.02477515835642,3082.800048828125
1,1,0,170,537.04649062107319,3111.39990234375
1,1,0,171,537.06820378713769,3105.699951171875
1,1,0,172,537.08991465624342,3094.300048828125
1,1,0,173,537.11162322808423,3112.199951171875
1,1,0,174,537.13332950235417,3087
1,1,0,175,537.15503347874733,3116.89990234375
1,1,0,176,537.17673515695788,3092.89990234375
1,1,0,177,537.19843453668034,3098.199951171875
1,1,0,178,537.22013161760913,3117
1,1,0,179,537.24182639943888,3099
1,1,0,180,537.26351888186457,3108.60009765625
1,1,0,181,537.285209064581,3072.300048828125
1,1,0,182,537.30689694728335,3115.199951171875
1,1,0,183,537.328582529667,3088.199951171875
1,1,0,184,537.35026581142722,3116.60009765625
1,1,0,185,537.37194679225956,3107.60009765625
1,1,0,186,537.39362547185965,3094.89990234375
1,1,0,187,537.41530184992337,3111.800048828125
1,1,0,188,537.43697592614683,3085.60009765625
1,1,0,189,537.45864770022592,3077.10009765625
1,1,0,190,537.480317171857,3089.60009765625
1,1,0,191,537.5019843407365,3115.199951171875
1,1,0,192,537.52364920656089,3084.699951171875
1,1,0,193,537.545311769027,3120.5
1,1,0,194,537.56697202783141,3101.39990234375
1,1,0,195,537.58862998267159,3108.300048828125
1,1,0,196,537.61028563324408,3091.5
1,1,0,197,537.63193897924646,3093.39990234375
1,1,0,198,537.6535900203761,3091.10009765625
1,1,0,199,537.6752387563306,3089.5
1,1,0,200,537.69688518680755,3104.5
1,1,0,201,537.718529311505,3089.10009765625
1,1,0,202,537.74017113012076,3117.199951171875
1,1,0,203,537.76181064235288,3095.300048828125
1,1,0,204,537.78344784789977,3091.89990234375
1,1,0,205,537.8050827464599,3120.5
1,1,0,206,537.8267153377318,3122.300048828125
1,1,0,207,537.84834562141418,3113.5
1,1,0,208,537.86997359720579,3100
1,1,0,209,537.89159926480579,3124.300048828125
1,1,0,210,537.913222623913,3136.60009765625
1,1,0,211,537.9348436742273,3139.300048828125
1,1,0,212,537.95646241544762,3106.699951171875
1,1,0,213,537.97807884727365,3137.699951171875
1,1,0,214,537.99969296940515,3142.89990234375
1,1,0,215,538.02130478154209,3138.60009765625
1,1,0,216,538.04291428338422,3152.39990234375
1,1,0,217,538.064521474632,3179.5
1,1,0,218,538.08612635498548,3144.10009765625
1,1,0,219,538.10772892414525,3161.60009765625
1,1,0,220,538.12932918181184,3156.39990234375
1,1,0,221,538.15092712768592,3171.60009765625
1,1,0,222,538.17252276146849,3173.300048828125
1,1,0,223,538.19411608286043,3164.699951171875
1,1,0,224,538.2157070915631,3186.199951171875
1,1,0,225,538.23729578727762,3201.800048828125
1,1,0,226,538.25888216970554,3182.5
1,1,0,227,538.28046623854846,3183
1,1,0,228,538.302047993508,3192.300048828125
1,1,0,229,538.32362743428632,3219.5
1,1,0,230,538.3452045605851,3204.39990234375
1,1,0,231,538.36677937210686,3213.800048828125
1,1,0,232,538.38835186855363,3223.5
1,1,0,233,538.409922049628,3219
1,1,0,234,538.43148991503278,3224.89990234375
1,1,0,235,538.45305546447025,3239.800048828125
1,1,0,236,538.47461869764379,3246.89990234375
1,1,0,237,538.49617961425622,3245.300048828125
1,1,0,238,538.51773821401071,3255.5
1,1,0,239,538.53929449661075,3261.10009765625
1,1,0,240,538.56084846175952,3262.800048828125
1,1,0,241,538.58240010916109,3284.5
1,1,0,242,538.60394943851884,3288.699951171875
1,1,0,243,538.62549644953674,3302.5
1,1,0,244,538.647041141919,3291.89990234375
1,1,0,245,538.66858351536973,3320.800048828125
1,1,0,246,538.69012356959342,3315.39990234375
1,1,0,247,538.71166130429435,3320.699951171875
1,1,0,248,538.73319671917716,3312.800048828125
1,1,0,249,538.75472981394694,3350.89990234375
1,1,0,250,538.77626058830822,3331.39990234375
1,1,0,251,538.79778904196633,3351.800048828125
1,1,0,252,538.81931517462647,3356
1,1,0,253,538.84083898599386,3360.199951171875
1,1,0,254,538.86236047577415,3377.300048828125
1,1,0,255,538.88387964367291,3391.800048828125
1,1,0,256,538.90539648939591,3400.699951171875
1,1,0,257,538.92691101264927,3409.89990234375
1,1,0,258,538.94842321313888,3435.89990234375
1,1,0,259,538.9699330905712,3440.89990234375
1,1,0,260,538.99144064465236,3466.89990234375
1,1,0,261,539.012945875089,3466.60009765625
1,1,0,262,539.0344487815878,3461.5
1,1,0,263,539.05594936385546,3518.800048828125
1,1,0,264,539.077447621599,3513.800048828125
1,1,0,265,539.0989435545257,3520
1,1,0,266,539.12043716234257,3544.60009765625
1,1,0,267,539.14192844475724,3530.300048828125
1,1,0,268,539.163417401477,3560.60009765625
1,1,0,269,539.1849040322096,3552.5
1,1,0,270,539.206388336663,3594.800048828125
1,1,0,271,539.22787031454516,3580.699951171875
1,1,0,272,539.24934996556408,3610.89990234375
1,1,0,273,539.270827289428,3590.60009765625
1,1,0,274,539.29230228584549,3589.10009765625
1,1,0,275,539.313774954525,3590.699951171875
1,1,0,276,539.33524529517535,3582.800048828125
1,1,0,277,539.35671330750517,3535.699951171875
1,1,0,278,539.37817899122376,3511.800048828125
1,1,0,279,539.39964234604,3500.10009765625
1,1,0,280,539.42110337166309,3468.199951171875
1,1,0,281,539.4425620678029,3465.800048828125
1,1,0,282,539.46401843416857,3465.699951171875
1,1,0,283,539.48547247047,3412.199951171875
1,1,0,284,539.5069241764171,3392
1,1,0,285,539.52837355171982,3365.699951171875
1,1,0,286,539.54982059608824,3344.39990234375
1,1,0,287,539.57126530923279,3330.5
1,1,0,288,539.5927076908639,3309.10009765625
1,1,0,289,539.61414774069215,3278.300048828125
1,1,0,290,539.63558545842818,3254.5
1,1,0,291,539.65702084378313,3256.5
1,1,0,292,539.67845389646777,3237
1,1,0,293,539.69988461619323,3222.699951171875
1,1,0,294,539.7213130026712,3193.10009765625
1,1,0,295,539.74273905561279,3187.699951171875
1,1,0,296,539.76416277472981,3195.39990234375
1,1,0,297,539.78558415973384,3189.5
1,1,0,298,539.80700321033692,3164.800048828125
1,1,0,299,539.82841992625117,3153.60009765625
1,1,0,300,539.84983430718876,3157.300048828125
1,1,0,301,539.8712463528617,3139
1,1,0,302,539.892656062983,3151.89990234375
1,1,0,303,539.914063437265,3135.60009765625
1,1,0,304,539.93546847542041,3147
1,1,0,305,539.95687117716227,3130.60009765625
1,1,0,306,539.97827154220374,3118.60009765625
1,1,0,307,539.99966957025788,3118.10009765625
1,1,0,308,540.02106526103807,3112.60009765625
1,1,0,309,540.042458614258,3111.5
1,1,0,310,540.063849629631,3120.699951171875
1,1,0,311,540.085238306871,3102.60009765625
1,1,0,312,540.10662464569225,3103.89990234375
1,1,0,313,540.12800864580845,3106.800048828125
1,1,0,314,540.14939030693392,3126.199951171875
1,1,0,315,540.17076962878332,3119.10009765625
1,1,0,316,540.19214661107094,3098.699951171875
1,1,0,317,540.2135212535112,3096.800048828125
1,1,0,318,540.23489355581955,3102.5
1,1,0,319,540.25626351771029,3102.5
1,1,0,320,540.27763113889921,3096.10009765625
1,1,0,321,540.298996419101,3096.5
1,1,0,322,540.32035935803128,3111.5
1,1,0,323,540.34171995540567,3091.39990234375
1,1,0,324,540.36307821093976,3113.800048828125
1,1,0,325,540.38443412434947,3093.39990234375
1,1,0,326,540.40578769535068,3093.300048828125
1,1,0,327,540.42713892365964,3098.699951171875
1,1,0,328,540.4484878089927,3105.300048828125
1,1,0,329,540.46983435106608,3080.199951171875
1,1,0,330,540.49117854959638,3092.5
1,1,0,331,540.51252040430063,3101.5
1,1,0,332,540.53385991489529,3101.89990234375
1,1,0,333,540.55519708109762,3113.89990234375
1,1,0,334,540.57653190262477,3089.199951171875
1,1,0,335,540.59786437919388,3113.5
1,1,0,336,540.61919451052256,3121.10009765625
1,1,0,337,540.6405222963283,3116.800048828125
1,1,0,338,540.661847736329,3093.39990234375
1,1,0,339,540.68317083024249,3110.199951171875
1,1,0,340,540.7044915777866,3102.699951171875
1,1,0,341,540.72580997868,3119
1,1,0,342,540.74712603264038,3104.39990234375
1,1,0,343,540.76843973938674,3143.10009765625
1,1,0,344,540.78975109863745,3114.300048828125
1,1,0,345,540.81106011011127,3082.800048828125
1,1,0,346,540.83236677352727,3075.199951171875
1,1,0,347,540.85367108860441,3087.60009765625
1,1,0,348,540.874973055062,3073.10009765625
1,1,0,349,540.89627267261915,3070.800048828125
1,1,0,350,540.91756994099558,3067.699951171875
1,1,0,351,540.938864859911,3067.699951171875
1,1,0,352,540.96015742908492,3059.199951171875
1,1,0,353,540.98144764823758,3064.39990234375
1,1,0,354,541.00273551708881,3063.39990234375
1,1,0,355,541.02402103535894,3065.5
1,1,0,356,541.04530420276853,3070.89990234375
1,1,0,357,541.06658501903792,3033.699951171875
1,1,0,358,541.08786348388776,3037.800048828125
1,1,0,359,541.109139597039,3021.10009765625
1,1,0,360,541.13041335821254,3036.39990234375
1,1,0,361,541.15168476712938,3064.699951171875
1,1,0,362,541.17295382351085,3018.300048828125
1,1,0,363,541.19422052707864,3035.89990234375
1,1,0,364,541.21548487755388,3029.199951171875
1,1,0,365,541.23674687465848,3025.800048828125
1,1,0,366,541.25800651811426,3041.800048828125
1,1,0,367,541.27926380764325,3014.699951171875
1,1,0,368,541.30051874296737,3032.5
1,1,0,369,541.32177132380923,3015.699951171875
1,1,0,370,541.3430215498912,2991.5
1,1,0,371,541.36426942093567,3021.5
1,1,0,372,541.38551493666557,3017.39990234375
1,1,0,373,541.40675809680363,3026
1,1,0,374,541.4279989010729,3024
1,1,0,375,541.44923734919655,3021.5
1,1,0,376,541.470473440898,3031
1,1,0,377,541.4917071759005,3050.5
1,1,0,378,541.51293855392782,3025
1,1,0,379,541.53416757470382,3042.60009765625
1,1,0,380,541.5553942379521,3026
1,1,0,381,541.57661854339688,3017.699951171875
1,1,0,382,541.59784049076234,3035.699951171875
1,1,0,383,541.61906007977291,3038.5
1,1,0,384,541.6402773101529,3026.10009765625
1,1,0,385,541.66149218162707,3034.39990234375
1,1,0,386,541.68270469392007,3034.60009765625
1,1,0,387,541.70391484675713,3031.5
1,1,0,388,541.725122639863,3018.699951171875
1,1,0,389,541.746328072963,3035.10009765625
1,1,0,390,541.76753114578264,3030.199951171875
1,1,0,391,541.78873185804719,3019.5
1,1,0,392,541.80993020948256,3034.60009765625
1,1,0,393,541.83112619981455,3041.39990234375
1,1,0,394,541.85231982876883,3040.10009765625
1,1,0,395,541.87351109607187,3038.800048828125
1,1,0,396,541.89470000144956,3048
1,1,0,397,541.91588654462873,3027
1,1,0,398,541.9370707253355,3050.800048828125
1,1,0,399,541.95825254329679,3025.699951171875
1,1,0,400,541.97943199823942,3039.300048828125
1,1,0,401,542.0006090898903,3026.5
1,1,0,402,542.02178381797683,3049.39990234375
1,1,0,403,542.04295618222579,3050.199951171875
1,1,0,404,542.06412618236516,3028.39990234375
1,1,0,405,542.08529381812218,3043.300048828125
1,1,0,406,542.1064590892247,3050.60009765625
1,1,0,407,542.12762199540055,3020.699951171875
1,1,0,408,542.14878253637767,3053
1,1,0,409,542.16994071188435,3040.300048828125
1,1,0,410,542.19109652164889,3065.199951171875
1,1,0,411,542.21224996539979,3061.699951171875
1,1,0,412,542.23340104286547,3028.39990234375
1,1,0,413,542.25454975377477,3048.60009765625
1,1,0,414,542.27569609785667,3046.10009765625
1,1,0,415,542.29684007484025,3064.300048828125
1,1,0,416,542.31798168445459,3071
1,1,0,417,542.33912092642913,3047.5
1,1,0,418,542.36025780049329,3052.699951171875
1,1,0,419,542.3813923063766,3048
1,1,0,420,542.40252444380917,3040
1,1,0,421,542.42365421252055,3044.39990234375
1,1,0,422,542.444781612241,3045.10009765625
1,1,0,423,542.46590664270093,3054.5
1,1,0,424,542.48702930363038,3033.199951171875
1,1,0,425,542.50814959476008,3038.699951171875
1,1,0,426,542.52926751582072,3025.10009765625
1,1,0,427,542.550383066543,3004.60009765625
1,1,0,428,542.571496246658,3025.39990234375
1,1,0,429,542.59260705589656,3016.800048828125
1,1,0,430,542.6137154939903,3035
1,1,0,431,542.6348215606705,3022.39990234375
1,1,0,432,542.65592525566876,3027.300048828125
1,1,0,433,542.67702657871655,3038.10009765625
1,1,0,434,542.698125529546,3036.60009765625
1,1,0,435,542.719222107889,3038.199951171875
1,1,0,436,542.74031631347759,3017.39990234375
1,1,0,437,542.76140814604423,3025.60009765625
1,1,0,438,542.78249760532117,3030.199951171875
1,1,0,439,542.80358469104135,3022.199951171875
1,1,0,440,542.824669402937,3018.199951171875
1,1,0,441,542.84575174074155,3023.199951171875
1,1,0,442,542.86683170418769,3000.60009765625
1,1,0,443,542.88790929300865,3003.89990234375
1,1,0,444,542.90898450693771,3013.5
1,1,0,445,542.93005734570852,2997.300048828125
1,1,0,446,542.95112780905447,2993.10009765625
1,1,0,447,542.97219589670954,2993.699951171875
1,1,0,448,542.99326160840747,2964.699951171875
1,1,0,449,543.01432494388257,3007.89990234375
1,1,0,450,543.03538590286871,2968.89990234375
1,1,0,451,543.05644448510054,2973.699951171875
1,1,0,452,543.07750069031249,2961.300048828125
1,1,0,453,543.0985545182391,2967.800048828125
1,1,0,454,543.11960596861525,2996.60009765625
1,1,0,455,543.14065504117593,2966.60009765625
1,1,0,456,543.16170173565627,2969.89990234375
1,1,0,457,543.18274605179136,2974.199951171875
1,1,0,458,543.20378798931688,2987.39990234375
1,1,0,459,543.224827547968,2971.699951171875
1,1,0,460,543.24586472748058,2997.800048828125
1,1,0,461,543.26689952759057,2978.699951171875
1,1,0,462,543.28793194803382,2980.60009765625
1,1,0,463,543.30896198854657,2986.10009765625
1,1,0,464,543.32998964886485,2995.800048828125
1,1,0,465,543.35101492872536,2988.300048828125
1,1,0,466,543.37203782786469,2979.89990234375
1,1,0,467,543.39305834601942,2980.89990234375
1,1,0,468,543.41407648292636,2970.5
1,1,0,469,543.4350922383228,2974.199951171875
1,1,0,470,543.45610561194565,2982.300048828125
1,1,0,471,543.47711660353218,2957.10009765625
1,1,0,472,543.49812521282024,2949.699951171875
1,1,0,473,543.5191314395471,2934.300048828125
1,1,0,474,543.54013528345058,2940.10009765625
1,1,0,475,543.56113674426877,2934.5
1,1,0,476,543.58213582173948,2928.199951171875
1,1,0,477,543.603132515601,2926.10009765625
1,1,0,478,543.62412682559182,2916.89990234375
1,1,0,479,543.64511875145024,2907
1,1,0,480,543.66610829291494,2900.5
1,1,0,481,543.68709544972478,2912
1,1,0,482,543.70808022161873,2927.10009765625
1,1,0,483,543.729062608336,2916.800048828125
1,1,0,484,543.75004260961543,2911.39990234375
1,1,0,485,543.77102022519682,2904.300048828125
1,1,0,486,543.79199545481947,2899.60009765625
1,1,0,487,543.81296829822315,2901.800048828125
1,1,0,488,543.83393875514776,2891.300048828125
1,1,0,489,543.854906825333,2871.39990234375
1,1,0,490,543.87587250851948,2876.89990234375
1,1,0,491,543.89683580444694,2879.60009765625
1,1,0,492,543.91779671285633,2885.89990234375
1,1,0,493,543.93875523348777,2886.10009765625
1,1,0,494,543.95971136608227,2890.800048828125
1,1,0,495,543.98066511038053,2890.10009765625
1,1,0,496,544.00161646612366,2895
1,1,0,497,544.02256543305293,2861.800048828125
1,1,0,498,544.04351201090947,2884.60009765625
1,1,0,499,544.06445619943474,2877.10009765625
1,1,0,500,544.08539799837047,2881.60009765625
1,1,0,501,544.10633740745834,2877.39990234375
1,1,0,502,544.12727442644029,2881.60009765625
1,1,0,503,544.14820905505849,2891
1,1,0,504,544.169141293055,2866.5
1,1,0,505,544.19007114017211,2848.10009765625
1,1,0,506,544.21099859615242,2872.5
1,1,0,507,544.23192366073863,2872.5
1,1,0,508,544.25284633367346,2868.10009765625
1,1,0,509,544.27376661469987,2860.60009765625
1,1,0,510,544.294684503561,2873.39990234375
1,1,0,511,544.31560000000013,2866.60009765625
1,1,0,512,544.33651310376047,2867.699951171875
1,1,0,513,544.35742381458567,2877.300048828125
